RUN,CAR_TYPE,HAS_PARKED,A,B,C,D,E,F,G,H,I,J,K
[0],['B'],[True],[12.956195439491323],[46.016584068518384],[50.668016672084974],[54.91338675883652],[57.55431083030993],[57.55431083030993],[104.08166431251686],[106.95380781998753],[159.5871085793871],[164.5406065376765],[197.60099516670357]
[0],['B'],[True],[0],[17.124474300134104],[17.124474300134104],[23.478785932573324],[25.91907451940662],[25.91907451940662],[197.41056171613462],[200.13348452087064],[219.68935831686437],[224.98955211341433],[242.11402641354843]
[0],['B'],[True],[80.02365041715001],[99.33047690558627],[144.97991075942565],[150.84172373862532],[153.20071823931036],[153.20071823931036],[228.20198590920228],[230.5385884776134],[230.5385884776134],[235.16410407978603],[254.4709305682223]
[0],['B'],[True],[70.92166965463048],[93.95112918553978],[140.55660823936222],[147.01440791582098],[149.52821100557333],[149.52821100557333],[244.03952674944946],[246.9616406471241],[246.9616406471241],[253.50418628818795],[276.5336458190973]
[0],['B'],[False],[176.04707161521372],[197.06990706463944],[218.53613655269817],[223.8420733471705],[227.34717405921563],[236.65403899290618],[273.1715436170924],[275.7826381420089],[275.7826381420089],[281.32177791658137],[302.3446133660071]
[0],['B'],[False],[133.7439449743295],[149.6350014127826],[211.9488391386679],[219.68935831686437],[223.07046409872206],[232.4898309014675],[330.3050854517535],[333.4258230857223],[333.4258230857223],[338.322155373981],[354.2132118124341]
[0],['B'],[True],[215.59269302050643],[229.34475286800767],[229.34475286800767],[234.01584385915757],[237.09325393744498],[237.09325393744498],[341.39977988691817],[344.6990673039649],[344.6990673039649],[350.5055281729745],[364.25758802047574]
[0],['B'],[True],[29.25129781269453],[56.026687399750955],[70.11420904655999],[75.12481316631624],[77.9344526345095],[77.9344526345095],[331.1657663743338],[334.1068385622969],[334.1068385622969],[339.0009283563485],[365.77631794340493]
[0],['B'],[False],[244.6943029493906],[260.8426749465793],[260.8426749465793],[267.7435037911157],[270.67062341088075],[279.0659524535279],[374.66243436437816],[377.82398903252357],[377.82398903252357],[382.8434820318495],[398.99185402903817]
[0],['B'],[False],[252.54108853215143],[278.05847919265796],[278.05847919265796],[284.75091059630455],[288.51392433355744],[302.93173489657494],[368.9849155930368],[371.94431463729353],[371.94431463729353],[376.7011216100635],[402.21851227057005]
[0],['B'],[True],[44.73219845315473],[70.90441870921157],[95.34057507324539],[101.34156936590072],[104.51460697507554],[104.51460697507554],[369.39094273392635],[372.341813626173],[372.341813626173],[377.0190513084499],[403.19127156450674]
[0],['B'],[False],[220.35205710347975],[254.20499605374337],[254.20499605374337],[261.06697770881095],[263.8840630017444],[277.73953966083417],[385.6861286971896],[388.66515637986737],[388.66515637986737],[394.63667983180653],[428.4896187820701]
[0],['B'],[True],[57.77810051912655],[85.26138064521982],[122.78780002170211],[130.15632179840256],[132.90962845548674],[132.90962845548674],[398.28427805086994],[401.805454841114],[401.805454841114],[406.8351874958459],[434.3184676219392]
[0],['B'],[True],[340.61418602747375],[365.78032618282833],[365.78032618282833],[370.40884846016974],[373.8231298874707],[373.8231298874707],[406.87831343740595],[410.033418548385],[410.033418548385],[414.94124513880587],[440.10738529416045]
[0],['B'],[False],[150.3355417829042],[170.13242699843238],[216.65995793056484],[221.55264530098958],[225.17315604331594],[235.1092739362834],[411.63818744656237],[414.9201675548804],[414.9201675548804],[422.28796217715217],[442.08484739268033]
[0],['B'],[False],[205.92316432282237],[232.2493750400989],[232.2493750400989],[237.5461485390154],[239.97199704353346],[251.29007685386682],[432.228153286619],[434.92112295338745],[434.92112295338745],[441.3638859420101],[467.6900966592866]
[0],['B'],[True],[203.27639361654772],[237.75044950368252],[237.75044950368252],[244.41091826090522],[247.32616739248223],[247.32616739248223],[427.6486424129764],[430.35210188452453],[430.35210188452453],[435.7191489227274],[470.1932048098622]
[0],['B'],[False],[146.404010468976],[162.79446090351522],[216.10174338211638],[222.7505085628438],[225.44432649681676],[239.165787230864],[448.6892173626391],[451.8741765830519],[451.8741765830519],[457.19627834785666],[473.5867287823959]
[0],['B'],[True],[320.3534883768291],[337.0091474610239],[337.0091474610239],[344.06863580171125],[347.85447259707865],[347.85447259707865],[457.2491016958302],[460.27277694624723],[460.27277694624723],[466.048829804274],[482.70448888846886]
[0],['B'],[True],[402.319063324552],[415.85887506252817],[415.85887506252817],[420.95754846089505],[424.6630770284437],[424.6630770284437],[491.4933803788345],[494.37183782052466],[494.37183782052466],[499.18624260677484],[512.726054344751]
[0],['B'],[False],[282.2497525835385],[309.60025541462693],[309.60025541462693],[314.2336106865212],[316.94235873296157],[329.0779588309011],[477.9360113375569],[481.28062077358567],[481.28062077358567],[486.32525727389833],[513.6757601049868]
[0],['A'],[True],[17.912803399074765],[34.96784724702097],[37.458267340508776],[42.29205814719594],[44.86514964786685],[44.86514964786685],[499.0889382184376],[501.39743768032645],[501.39743768032645],[507.313940416867],[524.3689842648132]
[0],['A'],[True],[21.92761712120211],[45.649411896788884],[48.66030181180469],[52.98635892911155],[55.72132555484627],[55.72132555484627],[494.67529189659837],[498.1011819567461],[498.1011819567461],[504.39208386623517],[528.1138786418219]
[0],['A'],[True],[55.48533926810542],[75.04920957555717],[101.63152655934641],[107.28024386763046],[110.11651307812222],[110.11651307812222],[510.3015661419581],[512.8851569542935],[512.8851569542935],[518.8152195596265],[538.3790898670783]
[0],['A'],[True],[31.887968619689246],[58.001963461509696],[71.34798433433367],[77.82107484818711],[80.78719155755103],[80.78719155755103],[506.73120734190957],[510.264674916729],[510.264674916729],[515.3543878245302],[541.4683826663507]
[0],['A'],[True],[7.6097841119440695],[29.90881673823885],[31.5705939753907],[37.458267340508776],[40.37751905367971],[40.37751905367971],[511.3090116020464],[514.9304355702835],[514.9304355702835],[520.150617445804],[542.4496500720987]
[0],['A'],[True],[16.65485126780443],[49.50860907602848],[56.81591860971938],[61.907673643262505],[64.9855789619916],[64.9855789619916],[515.7302645015809],[518.9233014615024],[518.9233014615024],[525.097897875143],[557.951655683367]
[0],['B'],[False],[247.68825874637523],[269.2644496024441],[269.2644496024441],[275.88278578099045],[278.9528241515097],[291.0997271987852],[529.1227842015219],[532.521349691797],[532.521349691797],[537.6563104068091],[559.2325012628779]
[0],['A'],[True],[0],[21.284483647587408],[21.284483647587408],[26.542228510085167],[30.126239626002],[30.126239626002],[548.133179098236],[551.3940248836071],[551.3940248836071],[556.1015682125023],[577.3860518600898]
[0],['A'],[True],[45.12813947427982],[65.14826969265577],[84.29246756178631],[89.06613767310122],[91.94613236238791],[91.94613236238791],[557.0926021915009],[559.5423102581718],[559.5423102581718],[564.0056223545553],[584.0257525729312]
[0],['A'],[True],[61.81906847426159],[74.12507715993294],[101.34156936590072],[107.61336428548418],[109.96193205742864],[109.96193205742864],[567.4867553274372],[570.6354914194321],[570.6354914194321],[575.5088441510959],[587.8148528367673]
[0],['A'],[True],[15.098854969396621],[30.0571399800437],[34.80498008349399],[39.73033220317361],[43.61964076779492],[43.61964076779492],[565.8203454850607],[568.5018209214378],[568.5018209214378],[574.5998151789538],[589.5581001896009]
[0],['A'],[True],[10.544855064746876],[45.92721699809023],[49.0280381893714],[55.1507044790262],[58.318251309430735],[58.318251309430735],[548.847550050519],[551.7748770651369],[551.7748770651369],[556.3759873242836],[591.758349257627]
[0],['A'],[True],[71.42109779915246],[82.10553444902057],[113.03028701121785],[117.68325719100363],[120.35567765243488],[120.35567765243488],[584.5929106253665],[586.6696599918893],[586.6696599918893],[592.6500094767521],[603.3344461266202]
[0],['B'],[True],[481.6533928986536],[504.5349627606079],[505.9301579329308],[511.2069305244166],[513.8597023121201],[513.8597023121201],[572.1703139286274],[575.7344723230696],[575.7344723230696],[581.3510079455119],[604.2325778074662]
[0],['A'],[True],[16.089594725176713],[28.474089592552893],[28.474089592552893],[34.80498008349399],[38.10076496426883],[38.10076496426883],[586.8400020008659],[589.2949781746547],[589.2949781746547],[594.2873635413683],[606.6718584087445]
[0],['A'],[True],[15.958938194250567],[38.2858125080719],[40.400575814835975],[44.653502293620384],[47.57336564837516],[47.57336564837516],[577.0551501698535],[579.7479538872473],[579.7479538872473],[584.9038037116314],[607.2306780254528]
[0],['B'],[False],[427.57694040055674],[440.46024830901735],[440.46024830901735],[447.5143418895042],[449.967047998768],[456.8828438287764],[587.6604822902382],[590.7202368751891],[590.7202368751891],[598.0758930090337],[610.9592009174943]
[0],['B'],[True],[392.04668595280026],[418.8063775497744],[418.8063775497744],[423.9106378203529],[427.0465307660083],[427.0465307660083],[579.3770627307229],[582.365895007302],[582.365895007302],[586.9417673637549],[613.701458960729]
[0],['A'],[True],[15.19602390677837],[25.889667483559016],[25.889667483559016],[31.5705939753907],[34.825116021260406],[34.825116021260406],[591.6938857031528],[595.4678490568623],[598.0758930090337],[603.6289258811911],[614.3225694579718]
[0],['A'],[True],[26.12391039196345],[53.24562067637056],[65.91141509161011],[71.95763971802371],[75.1982887356986],[75.1982887356986],[579.3735361310746],[582.5047092089497],[582.5047092089497],[587.606663951861],[614.7283742362681]
[0],['A'],[True],[23.090680382892348],[43.07662792429108],[43.07662792429108],[49.0280381893714],[51.160162428025416],[51.160162428025416],[588.8762643331224],[591.3608194300617],[594.2873635413683],[598.8675730747832],[618.853520616182]
[0],['B'],[True],[502.7881290624458],[517.670884467678],[517.670884467678],[521.8799068344919],[524.9494762623593],[524.9494762623593],[595.9844067766207],[598.5961792296192],[599.0319741099597],[604.0609809289451],[618.9437363341773]
[0],['B'],[True],[483.01938000326084],[504.82303648228566],[507.313940416867],[513.6841129202663],[517.4994111027954],[517.4994111027954],[588.3671171092035],[591.0040267965455],[592.6500094767521],[599.0319741099597],[620.8356305889846]
[0],['A'],[True],[32.54054549986282],[60.06051258683064],[77.54193120410974],[82.49900820290829],[85.46232983470097],[85.46232983470097],[587.2883545972076],[589.8295184703619],[589.8295184703619],[595.8086906488942],[623.328657735862]
[0],['A'],[True],[8.175310120629096],[30.0475466765752],[34.682378169432425],[42.50533785035158],[45.77013669347331],[45.77013669347331],[597.5629797093128],[601.0110405704033],[603.1260683629389],[608.0439465805787],[629.9161831365248]
[0],['A'],[True],[62.37365529703899],[75.64606632869813],[105.52075132730751],[110.66612306538187],[113.69924575253442],[113.69924575253442],[608.3599055499196],[611.5827451106956],[611.5827451106956],[617.5185780498889],[630.790989081548]
[0],['A'],[True],[20.36951435683729],[45.03780776309685],[45.03780776309685],[50.668016672084974],[52.990367795405696],[52.990367795405696],[602.278087289293],[605.7288756621186],[605.7288756621186],[610.4724162823876],[635.1407096886471]
[0],['A'],[True],[65.01870116147282],[87.20620262375786],[129.51098358842145],[134.90252233106034],[137.55209996464157],[137.55209996464157],[607.5308724554841],[611.4570489459194],[611.4570489459194],[617.7949229158801],[639.9824243781651]
[0],['A'],[True],[5.626773748352318],[27.396568491089337],[27.396568491089337],[34.682378169432425],[36.788321442475635],[36.788321442475635],[612.8049313198492],[615.4851799373864],[615.4851799373864],[621.0393361982791],[642.8091309410161]
[0],['A'],[True],[1.721087219326173],[31.443473196020257],[35.19287126785894],[40.400575814835975],[42.72451432408346],[42.72451432408346],[614.2509603347295],[617.6018314418009],[617.6018314418009],[622.7892153652955],[652.5116013419896]
[0],['B'],[True],[418.04332896883284],[439.76883099740456],[439.76883099740456],[445.61096137709296],[448.66434389128125],[448.66434389128125],[624.9282982507981],[627.6545775062721],[629.49478707104],[634.4558290496147],[656.1813310781865]
[0],['B'],[True],[442.8350093667963],[471.26006716718837],[471.26006716718837],[477.48479776148514],[481.19284077740093],[481.19284077740093],[621.8574795027835],[624.709910846235],[624.709910846235],[630.4861143534245],[658.9111721538164]
[0],['B'],[False],[223.6073543298659],[253.8881209123678],[253.8881209123678],[258.8612432356378],[262.24140227962334],[270.966226577777],[620.5298595045822],[623.6475063817691],[623.6475063817691],[629.49478707104],[659.7755536535419]
[0],['A'],[True],[16.892008460507043],[46.27610385783832],[52.98635892911155],[58.22698593777756],[61.31090054370104],[61.31090054370104],[621.3677206799246],[624.3441154007764],[624.3441154007764],[630.4661775563527],[659.850272953684]
[0],['A'],[True],[69.70999222322872],[82.92871217294767],[115.80467297275173],[121.45596595816592],[123.68740958654995],[123.68740958654995],[639.283686547404],[642.2653941707658],[643.4713405431065],[649.5600384208126],[662.7787583705315]
[0],['A'],[True],[3.358633929881565],[29.140965246930676],[29.140965246930676],[35.19287126785894],[38.673631436818596],[38.673631436818596],[628.8033817870227],[631.3430973405208],[631.3430973405208],[637.9192657438663],[663.7015970609154]
[0],['B'],[True],[341.4539474089985],[360.1146704840161],[360.1146704840161],[366.7434744311824],[368.98667527452693],[368.98667527452693],[637.2106518756191],[640.8321522259151],[640.8321522259151],[645.769107375186],[664.4298304502036]
[0],['A'],[True],[34.972335977384084],[71.72251638367689],[96.39618918416221],[101.63152655934641],[104.48042001281293],[104.48042001281293],[621.0465449000125],[624.4610005697169],[624.4610005697169],[630.1786522617921],[666.9288326680849]
[0],['B'],[True],[561.1808488458628],[576.573002200992],[576.573002200992],[582.8509028457506],[586.4115682434364],[586.4115682434364],[640.5738759288948],[643.8731821704222],[645.769107375186],[651.7974644537227],[667.189617808852]
[0],['A'],[True],[71.0110570683853],[95.70572399187733],[142.30977080951556],[149.00478001616906],[151.8470436734861],[151.8470436734861],[635.1448454918727],[638.0424239941789],[638.0424239941789],[643.9582394985173],[668.6529064220093]
[0],['A'],[True],[8.666890013121668],[42.29439250722255],[42.29439250722255],[48.66030181180469],[52.296741111274635],[52.296741111274635],[628.5910243105234],[631.6133260737827],[631.6133260737827],[636.6773448375825],[670.3048473316834]
[0],['A'],[True],[27.191151251311783],[46.812601686981274],[54.91338675883652],[60.59486913847541],[63.842974846715194],[63.842974846715194],[639.6049531662173],[642.817873900282],[643.9582394985173],[650.9748219036587],[670.5962723393283]
[0],['A'],[True],[33.28705782113863],[62.31981746530017],[80.9392404346498],[87.33193682509248],[90.54497627076849],[90.54497627076849],[634.6028396285883],[637.3734736758377],[637.3734736758377],[643.4713405431065],[672.504100187268]
[0],['A'],[True],[29.46571984300115],[44.56991781980459],[44.653502293620384],[50.96378518905026],[54.35933391919158],[54.35933391919158],[644.2295201748841],[647.3930372430551],[650.9748219036587],[657.6789972841015],[672.7831952609049]
[0],['A'],[True],[55.63775314358658],[76.52723417337293],[107.28024386763046],[112.6225277438328],[115.2781913945092],[115.2781913945092],[648.5881347142655],[651.5241241767818],[651.7974644537227],[656.8370103547123],[677.7264913844987]
[0],['B'],[True],[453.2898971445594],[492.7784998651627],[492.7784998651627],[497.69204259615447],[501.0480336308358],[501.0480336308358],[630.5442780290828],[633.1037910790242],[634.4558290496147],[639.061541287774],[678.5501440083774]
[0],['A'],[True],[35.40148045803209],[51.60453179825886],[60.59486913847541],[65.91141509161011],[68.10194143733288],[68.10194143733288],[648.8742556124506],[652.3347271476136],[656.8370103547123],[662.5593977708905],[678.7624491111173]
[0],['A'],[True],[26.48783346643901],[58.78281494526831],[71.95763971802371],[77.54193120410974],[80.91880312008186],[80.91880312008186],[642.7980318480484],[645.0946802664464],[646.6843804781071],[651.8385759723544],[684.1335574511837]
[0],['A'],[True],[45.70501920148663],[66.6993431648743],[87.39636054346975],[94.32483138304919],[96.79536812330808],[96.79536812330808],[651.8373123198463],[655.107077507857],[658.6410217619482],[663.6261613713119],[684.6204853346997]
[0],['A'],[True],[43.31967902882327],[64.57345486647733],[83.44679477020019],[88.74048414311432],[91.5456715264108],[91.5456715264108],[651.6762173703149],[654.0613843629748],[657.6789972841015],[665.0528691365216],[686.3066449741757]
[0],['A'],[False],[107.5485903029513],[121.92830674078554],[183.72055800355025],[188.9590898993187],[191.27843473946953],[197.2947402800113],[663.793913555495],[666.0785254994636],[668.3686609585365],[672.4361364686284],[686.8158529064626]
[0],['A'],[True],[38.8731511675045],[66.8177910831323],[88.74048414311432],[95.34057507324539],[98.72011860974335],[98.72011860974335],[649.4450901411882],[652.1639397112128],[656.4104018105404],[661.3913681945647],[689.3360081101926]
[0],['A'],[True],[31.70355856057301],[55.750480064583485],[67.38018624527139],[73.5179688525175],[76.42313327278572],[76.42313327278572],[653.4579673674039],[655.8401315415786],[661.3913681945647],[666.279703073906],[690.3266245779165]
[0],['A'],[True],[53.51409603739476],[88.26658624286091],[129.64488330799907],[135.27521721824638],[138.00522409498353],[138.00522409498353],[644.7664623310122],[646.9868784569994],[649.5600384208126],[656.4104018105404],[691.1628920160066]
[0],['A'],[True],[37.4054125689599],[60.26037229860834],[77.82107484818711],[83.44679477020019],[85.75235052888083],[85.75235052888083],[654.5462189970154],[657.5864045114017],[662.5593977708905],[668.3686609585365],[691.2236206881848]
[0],['A'],[True],[53.44121133772321],[86.80371243062581],[126.9212120878251],[131.38257236491174],[134.1508138918839],[134.1508138918839],[648.8650865666916],[651.9137296882527],[651.9137296882527],[658.6410217619482],[692.0035228548508]
[0],['A'],[True],[31.864166855884545],[52.683838691958584],[61.907673643262505],[67.38018624527139],[70.21420241140592],[70.21420241140592],[659.0019859340049],[662.0416162131041],[665.0528691365216],[671.8095575233169],[692.6292293593909]
[0],['A'],[True],[51.18005691859956],[78.12757023410461],[107.61336428548418],[113.03028701121785],[116.06382764490785],[116.06382764490785],[662.6277491459736],[665.2004509638599],[666.279703073906],[670.4435130067932],[697.3910263222982]
[0],['A'],[True],[45.10835587978933],[60.953091103237426],[79.33171787032802],[84.29246756178631],[87.89148409624575],[87.89148409624575],[678.0387840350934],[680.9592513497719],[680.9592513497719],[686.3413738104572],[702.1861090339053]
[0],['A'],[True],[73.90736495385646],[101.06155921505339],[147.01440791582098],[151.9406576943883],[155.28003011288268],[155.28003011288268],[668.6910989833348],[671.8944552748915],[672.4361364686284],[677.4866719987649],[704.6408662599619]
[0],['A'],[True],[44.775771152815835],[68.14750020974034],[91.88940355630999],[96.93153351406053],[100.20371821567527],[100.20371821567527],[673.2111575611998],[676.0767409334594],[677.0413787490113],[681.8249392908889],[705.1966683478134]
[0],['A'],[True],[39.43862864446348],[63.329045270584714],[82.49900820290829],[87.39636054346975],[90.73980780034822],[90.73980780034822],[670.5713826650373],[673.28080769864],[675.2277430464948],[681.6136754168151],[705.5040920429363]
[0],['A'],[True],[48.49305829591987],[80.68900568589144],[112.87003887445088],[117.74888299319863],[121.04960082691086],[121.04960082691086],[664.8610787172698],[667.7677737773332],[670.4435130067932],[675.2277430464948],[707.4236904364664]
[0],['B'],[True],[476.8175206525234],[504.20237270570476],[504.39208386623517],[508.64714828454424],[512.0538368468091],[512.0538368468091],[671.038608049329],[673.9163874741463],[676.1808954378379],[681.1212764555972],[708.5061285087786]
[0],['A'],[True],[52.11218151379927],[83.76056343507295],[117.74888299319863],[122.78780002170211],[125.37899838270829],[125.37899838270829],[664.985168376131],[667.961835513633],[671.0954343449555],[677.0413787490113],[708.689760670285]
[0],['A'],[True],[78.75205699624688],[91.16265978977353],[134.90252233106034],[140.55660823936222],[143.19259240423708],[143.19259240423708],[687.9977860989629],[690.7396942774558],[694.0501822282857],[698.8412794995829],[711.2518822931096]
[0],['A'],[True],[5.124588102326968],[19.298879354675325],[19.298879354675325],[26.145745058298985],[29.259419088650215],[29.259419088650215],[687.863576885914],[690.5445497591498],[693.6576325338061],[698.6972130150118],[712.8715042673601]
[0],['A'],[False],[101.1091935501511],[125.66245712048259],[188.9590898993187],[193.9783616768307],[196.78987784027674],[215.9212923650397],[681.0221514883261],[683.5072323844046],[683.5072323844046],[688.5460542449944],[713.0993178153259]
[0],['A'],[True],[85.75044381784328],[105.30550385278656],[157.32541902130976],[161.67022461316526],[164.49086870646946],[164.49086870646946],[686.023546491959],[688.7736232784092],[688.7736232784092],[693.6576325338061],[713.2126925687494]
[0],['A'],[True],[27.822374889584594],[49.492586615876995],[55.1507044790262],[60.04137414133423],[63.41908486370699],[63.41908486370699],[684.2098962861402],[687.8068001299904],[687.8068001299904],[692.683155392877],[714.3533671191694]
[0],['A'],[True],[29.820237814341542],[54.079040315390095],[66.34967720466234],[71.34798433433367],[74.86902490027983],[74.86902490027983],[682.6724466472655],[685.5293699831429],[685.5293699831429],[690.1761753933042],[714.4349778943528]
[0],['A'],[True],[46.14730179759439],[67.49375682198064],[89.06613767310122],[96.39618918416221],[99.45978608984055],[99.45978608984055],[684.3334255735168],[687.1857545875787],[687.1857545875787],[694.0501822282857],[715.396637252672]
[0],['A'],[False],[118.49503525184339],[160.01942763488643],[212.76256003852455],[218.53613655269817],[221.4689811232461],[232.71831082563776],[666.9109447669232],[670.1549193989433],[671.8095575233169],[676.1808954378379],[717.7052878208809]
[0],['A'],[True],[41.10241091345831],[58.92681583215585],[73.5179688525175],[79.33171787032802],[81.95138698146947],[81.95138698146947],[688.4797618213262],[691.2187719157222],[694.7481438900413],[700.6936729312497],[718.5180778499472]
[0],['A'],[True],[27.791435143506387],[50.8833427495302],[58.22698593777756],[64.87656314587116],[68.59294144647804],[68.59294144647804],[686.3996304952431],[690.0847427925705],[692.683155392877],[696.9893800770682],[720.081287683092]
[0],['A'],[True],[88.40057926493246],[104.52395037818742],[154.19858966802124],[159.5871085793871],[162.67415781552216],[162.67415781552216],[694.1197494719906],[697.0033412698132],[700.6936729312497],[705.8244611864399],[721.9478322996948]
[0],['A'],[True],[44.49234477329284],[65.28238991943368],[87.33193682509248],[91.88940355630999],[94.69195093161149],[94.69195093161149],[689.242614995303],[692.6237905087597],[696.9893800770682],[701.8547891234047],[722.6448342695455]
[0],['A'],[False],[94.92261910626861],[114.26521937849652],[166.55394915785936],[171.89726860271634],[174.52652316494346],[184.37657444426637],[691.6785787838083],[694.4873954728805],[698.6972130150118],[704.4002595427891],[723.7428598150169]
[0],['A'],[True],[40.45572934378181],[70.31251210657855],[94.32483138304919],[99.77969700061625],[102.84405876891452],[102.84405876891452],[686.970442764379],[690.0417856626622],[690.1761753933042],[694.7481438900413],[724.604926652838]
[0],['B'],[True],[569.7239178863958],[597.239281097259],[598.8675730747832],[605.9724769163623],[608.2584806337383],[608.2584806337383],[694.6487590055302],[697.2791370983751],[701.8547891234047],[706.3113362856584],[733.8266994965215]
[0],['A'],[False],[82.20116923166002],[133.49691237327875],[196.0185448571788],[201.06192057667127],[203.43065422670924],[214.1503361505337],[678.989608346604],[681.4450724754035],[681.4450724754035],[686.6422036283709],[737.9379467699896]
[0],['A'],[True],[48.0391932074365],[72.5178913373986],[96.93153351406053],[102.39204711966099],[105.24225462836196],[105.24225462836196],[696.2751185332869],[699.5078566760801],[708.7714633106037],[714.0571658891521],[738.5358640191142]
[0],['A'],[True],[75.57237137059863],[97.51673655894419],[143.07901301973126],[149.45106097593907],[153.21959737634722],[153.21959737634722],[708.1104100073043],[711.4608388212856],[711.9245746464757],[716.9631877752189],[738.9075529635645]
[0],['B'],[True],[512.1122076048624],[540.165378065035],[540.165378065035],[545.7166173198344],[548.2344528010549],[548.2344528010549],[696.573179171335],[699.4606755489223],[706.3113362856584],[711.9245746464757],[739.9777451066483]
[0],['A'],[False],[106.33467813296303],[128.67940660088505],[193.9783616768307],[198.80965636029268],[201.00610982409017],[211.79121696100867],[710.1580794280169],[712.7554715098951],[714.0571658891521],[720.0026877086256],[742.3474161765475]
[0],['A'],[True],[54.24636147811485],[75.11917432420736],[102.39204711966099],[107.93983861030271],[111.10675396525258],[111.10675396525258],[711.14481923437],[713.282429214587],[716.9631877752189],[722.6830867427548],[743.5558995888473]
[0],['A'],[True],[81.29947862939558],[108.76619205182696],[161.31887809092223],[166.55394915785936],[169.6726984008613],[169.6726984008613],[700.510114725915],[703.2079294056547],[711.5034465949464],[717.0706347788598],[744.5373482012913]
[0],['A'],[True],[31.75692524153545],[52.81324153757024],[64.87656314587116],[70.11420904655999],[72.7218487317491],[72.7218487317491],[713.0289249188626],[715.6274769583587],[717.0732179994883],[723.5881389228389],[744.6444552188736]
[0],['A'],[False],[114.1471870274894],[139.7013582125912],[205.1027945848327],[210.6222951028696],[214.29865211398499],[228.24355288210887],[711.562894747291],[714.8622075318772],[717.0706347788598],[722.1392389923518],[747.6934101774536]
[0],['A'],[True],[45.47039206287048],[92.72438710050875],[137.2522184429805],[143.07901301973126],[145.79319325590293],[145.79319325590293],[692.1746465837755],[694.6514640691707],[698.8412794995829],[704.1204631769235],[751.3744582145617]
[0],['A'],[True],[17.7119087305272],[37.456860925299395],[39.73033220317361],[44.784686081040654],[47.15508162276642],[47.15508162276642],[719.869085083325],[722.4881045347058],[727.2642135336691],[731.9249642604616],[751.6699164552338]
[0],['A'],[True],[59.96553837052278],[85.38373812950425],[123.82106100088214],[129.64488330799907],[132.19168569549353],[132.19168569549353],[714.9553798823372],[717.8889573869392],[722.1392389923518],[726.3620771004952],[751.7802768594767]
[0],['A'],[False],[105.52220840183675],[118.5445214311606],[176.86471661677587],[183.72055800355025],[185.97098043861334],[195.74784290476356],[729.3226887032049],[732.0662132505414],[734.2928100741311],[739.4056640739096],[752.4279771032335]
[0],['A'],[True],[86.36895698308008],[111.94409151214825],[161.67022461316526],[166.36876391087696],[169.5797411161639],[169.5797411161639],[715.2140950851601],[717.8721706755001],[720.0026877086256],[727.2642135336691],[752.8393480627373]
[0],['B'],[True],[459.27980941213],[500.95079568730796],[500.95079568730796],[505.9301579329308],[509.453214109749],[509.453214109749],[696.0002059628953],[698.5973743548077],[704.4002595427891],[711.2222742497286],[752.8932605249065]
[0],['A'],[False],[105.50854948354358],[129.55987638862405],[195.34258520493123],[200.93360687291786],[204.4271177336275],[218.5178658197207],[717.976891818865],[721.2581168038047],[723.5881389228389],[729.5807295692158],[753.6320564742963]
[0],['A'],[True],[31.267361878577493],[51.45259711007138],[60.04137414133423],[66.34967720466234],[69.17550280183659],[69.17550280183659],[722.3578608080599],[724.896092560765],[728.3195842455681],[734.2928100741311],[754.478045305625]
[0],['A'],[True],[64.13107570402592],[86.48725883273593],[124.29003000333668],[129.51098358842145],[132.1452960955694],[132.1452960955694],[717.5724122392385],[721.4743292349967],[726.3620771004952],[733.4509449420877],[755.8071280707977]
[0],['A'],[False],[79.37290307438096],[118.33778033353715],[173.71447694092356],[180.22828791831284],[183.64757907504648],[193.20201819553142],[698.8462308392151],[701.9968123656987],[711.2222742497286],[717.0732179994883],[756.0380952586445]
[0],['A'],[True],[63.72114812411968],[89.09142411905748],[130.15632179840256],[135.93222464316574],[138.34667688414723],[138.34667688414723],[724.1133090552217],[727.2183125896844],[729.5807295692158],[736.767910005599],[762.1381860005367]
[0],['A'],[True],[19.35265940416457],[46.203088384375086],[50.96378518905026],[56.81591860971938],[59.178609661919324],[59.178609661919324],[727.7676759694427],[730.4909743999415],[733.4509449420877],[738.8228504700528],[765.6732794502633]
[0],['A'],[True],[56.527777217457086],[78.77088241607599],[110.66612306538187],[115.80467297275173],[118.90921208710866],[118.90921208710866],[738.1710509871691],[741.1010151724],[741.1010151724],[745.6655422173185],[767.9086474159374]
[0],['A'],[False],[116.5227571512026],[145.9264204723495],[206.9476301195294],[211.9488391386679],[215.02490259164992],[223.73682692255943],[732.62904975152],[735.608674084986],[736.8510878932636],[741.888141708696],[771.2918050298429]
[0],['A'],[False],[94.54719416758257],[113.11523389466998],[164.5406065376765],[169.0634280792695],[171.39142701828908],[179.91595587380243],[746.9823752579549],[750.0528251817078],[750.0528251817078],[755.4388384573361],[774.0068781844235]
[0],['A'],[True],[94.99008615105751],[102.94881326036837],[151.9406576943883],[156.9036331806533],[159.3872610993041],[159.3872610993041],[761.978931933664],[765.0086322743414],[765.0086322743414],[769.2104288739362],[777.169155983247]
[0],['A'],[True],[46.352133005708886],[83.730827356497],[117.68325719100363],[123.82106100088214],[126.35922921619793],[126.35922921619793],[731.1460343494954],[734.9644294905445],[736.767910005599],[741.715034120656],[779.0937284714441]
