RUN,CAR_TYPE,HAS_PARKED,A,B,C,D,E,F,G,H,I,J,K
[9],['A'],[True],[72.42966484982578],[90.25642456252817],[131.75366933997893],[137.69275725371216],[140.48972426278354],[140.48972426278354],[706.5865459328849],[709.0605837413469],[709.0605837413469],[716.6982486555595],[734.5250083682619]
[9],['A'],[True],[30.908252926800493],[75.67212256421797],[108.11553237106831],[114.20891968809435],[117.39959633392098],[117.39959633392098],[677.5868528127054],[680.8686680775537],[684.5450763306876],[689.7928063093349],[734.5566759467523]
[9],['A'],[True],[50.16731347819594],[71.07865203207321],[102.25082732365972],[108.11553237106831],[111.79546632964117],[111.79546632964117],[707.5681644830904],[709.9200871956881],[709.9200871956881],[714.8433188748968],[735.7546574287741]
[9],['A'],[True],[75.69340977676484],[86.01079012083231],[118.82023393352951],[124.94710833361673],[127.55132229411048],[127.55132229411048],[716.6640945630254],[719.878833680045],[719.878833680045],[726.3385574223535],[736.655937766421]
[9],['A'],[True],[68.21260130069408],[97.31625860506333],[137.69275725371216],[144.59756050701105],[147.55590903427245],[147.55590903427245],[699.3279001105028],[703.1242260842511],[703.1242260842511],[708.236959257832],[737.3406165622013]
[9],['A'],[True],[95.49900120825211],[116.80194150112358],[175.39099862220064],[181.87977431259804],[184.5883990077259],[184.5883990077259],[712.6508222939651],[715.6224682080621],[715.6224682080621],[719.715465324026],[741.0184056168974]
[9],['A'],[True],[92.49118178914593],[107.04520731190937],[152.79413222940894],[158.67378744733534],[161.27886829740422],[161.27886829740422],[723.7093444067093],[726.1024743342887],[726.1024743342887],[730.9077746889568],[745.4618002117203]
[9],['A'],[True],[75.18416355512433],[88.49431659003395],[124.94710833361673],[131.81680913835459],[134.4026860494461],[134.4026860494461],[732.2772466998422],[735.1131182297055],[735.1131182297055],[740.3870357879306],[753.6971888228402]
[9],['A'],[True],[23.664887234194445],[42.049556249666416],[50.53507929002995],[56.31031345943817],[59.002483645520975],[59.002483645520975],[728.2967373728445],[731.2281974394558],[731.2281974394558],[735.346129972535],[753.730798988007]
[9],['B'],[True],[549.4278598674421],[568.7253875594846],[568.7253875594846],[573.7686073967013],[576.7078874364197],[576.7078874364197],[733.5881350083284],[736.8208074533137],[736.8208074533137],[743.1572899953853],[762.4548176874279]
[9],['B'],[False],[327.30427746824125],[365.5421391427629],[365.5421391427629],[372.113597462248],[374.74677238606307],[386.4603858701297],[717.1173139494449],[719.7682901362282],[719.7682901362282],[724.4437701105309],[762.6816317850524]
[9],['A'],[True],[95.44442893904949],[112.03076927585451],[158.67378744733534],[164.35472609341846],[167.07458118069914],[167.07458118069914],[736.5224648935279],[740.0443129060325],[740.0443129060325],[746.6253752493712],[763.2117155861763]
[9],['A'],[True],[48.91320930455112],[90.61493355148735],[131.81680913835459],[137.1570238133566],[139.6106693588347],[139.6106693588347],[720.9546343584391],[723.1690324553458],[723.1690324553458],[729.0282736495066],[770.7299978964428]
[9],['A'],[True],[81.56872314231258],[91.73517159753804],[132.76017139922266],[138.40312212545928],[141.31514495292436],[141.31514495292436],[755.0727037344129],[757.3568266301759],[757.3568266301759],[763.4131993032187],[773.5796477584441]
[9],['A'],[True],[85.033289078532],[101.83278796925907],[146.2627525051315],[150.76497737945635],[153.39005332923892],[153.39005332923892],[749.0092677617004],[752.5654721725131],[752.5654721725131],[757.13374108808],[773.9332399788071]
[9],['A'],[True],[80.37105340385214],[101.42208504908369],[144.8293376305609],[152.41779408728635],[154.90442103428896],[154.90442103428896],[747.158358069279],[750.0024418006465],[750.0024418006465],[756.4107123764868],[777.4617440217183]
[9],['A'],[True],[22.99948281310834],[55.66298273002005],[75.90755059724889],[81.06850542668562],[84.48584972199606],[84.48584972199606],[737.766891218569],[740.9581176332774],[740.9581176332774],[747.6379558945604],[780.3014558114721]
[9],['A'],[False],[90.56921902952088],[122.82775533706115],[186.32362801532327],[192.24040219202607],[195.50239143039914],[210.79212892436865],[741.094501001218],[743.6656687475354],[743.6656687475354],[748.3369856810214],[780.5955219885616]
[9],['A'],[False],[91.66175854694531],[116.88967717213106],[176.71203827448142],[183.07577005903966],[186.56197495960149],[200.46075511305466],[745.9311475944173],[749.3501972728669],[749.3501972728669],[755.9786664653678],[781.2065850905536]
[9],['A'],[False],[119.31209032810345],[152.0569904267709],[209.21947782661096],[214.34211106510614],[217.1521249918141],[230.12446029133037],[741.7680464690043],[743.8723740362706],[743.8723740362706],[748.4825569919105],[781.227457090578]
[9],['A'],[False],[115.7970574584339],[146.3057830121523],[204.84528078726328],[211.2320227738813],[213.5827886265368],[226.25842230143022],[743.4354500285624],[746.0882085679848],[746.6253752493712],[752.3476105133619],[782.8563360670803]
[9],['A'],[True],[65.51161673103823],[85.08204447803585],[116.27342643176998],[120.92207586914547],[123.17176322898985],[123.17176322898985],[756.1572511402239],[759.1602263608906],[759.1602263608906],[765.3521571103048],[784.9225848573025]
[9],['B'],[False],[517.5214336605151],[526.0443601961282],[526.0443601961282],[530.8294042983844],[534.1226420266947],[544.8752777219725],[767.4373150852643],[769.6767557450676],[771.2238435290967],[776.482996865343],[785.0059234009561]
[9],['A'],[True],[100.48803345376716],[113.26652107641299],[162.83296495855717],[167.43572448062037],[170.83966291924384],[170.83966291924384],[765.187766245062],[768.1440753872016],[768.7304707373665],[773.7927260279066],[786.5712136505524]
[9],['A'],[True],[72.16891136722158],[98.34092820266821],[141.0381016975233],[146.2627525051315],[149.17740889129618],[149.17740889129618],[752.4825578755107],[755.405001126209],[755.9786664653678],[761.0317870375919],[787.2038038730385]
[9],['A'],[False],[84.40698426201726],[115.02556701274113],[169.88076594941234],[174.97728591273045],[177.78754141124637],[183.01481093512467],[750.1043210389448],[752.6988252761987],[754.3608370668719],[759.6042066285772],[790.2227893793012]
[9],['A'],[False],[88.68318644204841],[113.69090234376921],[164.35472609341846],[171.37891040243767],[173.7767455928382],[183.2769858718189],[759.4908772803083],[762.3292815329899],[762.3292815329899],[767.2157117776698],[792.2234276793905]
[9],['A'],[True],[56.61013203124644],[79.44407383980698],[113.07953557289193],[118.82023393352951],[121.52138653119356],[121.52138653119356],[760.9627636733816],[764.1002945599402],[765.3521571103048],[770.5998195859846],[793.4337613945452]
[9],['B'],[True],[572.4091156889677],[613.2835640560671],[613.2835640560671],[618.7750088606361],[622.5279981423502],[622.5279981423502],[743.6577609012369],[746.3301888607148],[747.6379558945604],[754.3608370668719],[795.2352854339713]
[9],['A'],[True],[35.79540291649815],[56.50252624006431],[78.48168688552686],[82.73646614821067],[85.07456309203872],[85.07456309203872],[766.2599318991261],[769.4268325448687],[770.5998195859846],[775.8409228335254],[796.5480461570916]
[9],['A'],[True],[78.1554635342773],[100.36501539960449],[144.59756050701105],[150.57059327813133],[153.36923460428054],[153.36923460428054],[767.0598441604851],[770.2164994065881],[773.7927260279066],[778.4767395313207],[800.6862913966479]
[9],['A'],[False],[101.42413241083527],[117.23248151680237],[177.45105641052606],[183.56671506083248],[186.4401897419719],[196.3269015551769],[777.5463924540497],[780.5457522397762],[780.5457522397762],[786.944189298219],[802.7525384041861]
[9],['B'],[True],[510.6469489007562],[533.9304124999028],[533.9304124999028],[539.5662315118988],[542.5452912311845],[542.5452912311845],[774.0528872510876],[776.6933333467751],[776.6933333467751],[782.015371893021],[805.2988354921677]
[9],['A'],[False],[99.26542579437636],[121.86445460667949],[183.56671506083248],[188.80724077155926],[192.72701163680173],[209.37198808885992],[778.2746732264093],[781.1549928707568],[781.1549928707568],[786.7327242321472],[809.3317530444504]
